name,symbol,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated,timestamp,EMA,RSI,MACD
Flux,FLUX,338988311.0492336,440000000.0,440000000.0,2018-08-02T00:00:00.000Z,109,182,0.6253755046411077,10933141.54077649,-5.3772,-0.48304593,6.3763648,7.64177657,52.43600689,90.6620472,96.7048498,211994986.08985123,0.0131,275165222.04,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.6189174713112063,69.83448861049314,0.0039490358470255504
Biconomy,BICO,588504007.0342776,1000000000.0,,2021-12-01T10:12:17.000Z,99,183,0.3518657781148578,7469596.54590319,-21.8474,-0.09165446,1.49179275,11.51868818,38.10097898,69.54822617,72.13000383,207074420.35882783,0.0128,351865778.11,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.3540732860567886,37.98571936905472,-0.0008168796682862522
Ontology,ONT,875249524.0,1000000000.0,1000000000.0,2018-03-08T00:00:00.000Z,222,184,0.2327233082254637,11312705.07304675,-6.2144,-0.57898409,5.49949121,0.29820608,4.75521737,42.54052512,45.18229821,203690964.7480424,0.0125,232723308.23,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.23163827046502608,64.01414854588046,0.0009498298848469588
Powerledger,POWR,511617062.880353,999506122.99937,1000000000.0,2017-11-01T00:00:00.000Z,103,185,0.3976040322656234,24633509.02013633,-47.8382,-1.28411119,1.84260323,30.04900306,64.64087489,134.51527386,184.48962073,203421007.17712337,0.0125,397604032.27,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.4015314427055511,42.567165409346195,-0.001138327767866043
Livepeer,LPT,30035275.2966084,30035275.2966084,,2018-12-19T00:00:00.000Z,154,186,6.503840744835893,31018618.96315436,-4.9391,-0.10697339,6.5662051,-2.62532245,-4.11321375,13.59956326,8.20682944,195344647.25644463,0.012,195344647.26,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,6.411722470617756,81.61104889744144,0.03977380078196635
Bone ShibaSwap,BONE,229923350.6228802,249999401.82484716,250000000.0,2021-09-13T19:17:01.000Z,130,187,0.8307136848365957,9071074.13471348,25.1522,0.30705315,12.1655727,7.16222086,24.0953442,12.08000784,1.45511965,191000473.82590935,0.0118,207678421.21,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.816120460748707,68.83198604737802,0.004274866777804864
Kadena,KDA,255650659.72518,1000000000.0,1000000000.0,2020-05-31T00:00:00.000Z,65,188,0.733280869633735,5406419.40158763,-25.0893,-0.64621825,7.8832053,5.36533831,26.45910951,70.8035357,44.97276209,187463738.08571807,0.0115,733280869.63,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.7306516315543201,52.68582740203075,0.001000039368448169
Ribbon Finance,RBN,537093440.461139,1000000000.0,,2021-10-07T12:24:29.000Z,72,189,0.3412330714767912,1250156.98423405,-28.2693,-0.47490116,2.1716984,-4.90001665,93.23798182,100.24595931,94.85443116,183274044.35859156,0.0113,341233071.48,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.3449141954594158,24.70205702013577,-0.001398724947418828
Vulcan Forged PYR,PYR,27182227.0,50000000.0,50000000.0,2021-04-19T00:00:00.000Z,124,190,6.711459401558783,24655778.96823837,47.3246,0.15175621,9.58256022,-1.76809973,12.91756479,138.36124025,97.83701756,182432412.954455,0.0112,335572970.08,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,6.676074904532703,51.67766780980601,0.006804225594627233
Hive,HIVE,500749242.945,500749242.945,,2020-03-26T00:00:00.000Z,44,191,0.3608346885591885,4401122.54508027,-6.9159,-0.73640849,3.44628693,-1.50887883,-1.70481565,22.12132644,25.47585205,180687697.12430853,0.0111,180687697.12,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.35942300122966675,56.37197477310975,0.0009978361648607104
Raydium,RAY,245918797.95638,554999616.590407,555000000.0,2021-02-19T00:00:00.000Z,182,192,0.7239855147503319,25960858.06253583,15.1113,-0.32945457,14.94333353,72.16395893,112.02569932,339.76704331,329.27882163,178041647.52523264,0.011,401811960.69,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.7053325567316149,76.05674842072676,0.010599263014442029
Status,SNT,3869231524.941378,6804870174.878168,,2017-06-28T00:00:00.000Z,126,193,0.0442266363671319,6454522.12117319,-22.9957,0.28733848,6.88696182,0.73961011,-0.5475776,79.84600899,101.70679964,171123095.67382586,0.0105,300956518.75,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.04357516657734345,72.32231550519852,0.00020125492344268137
Nano,XNO,133248297.0,133248297.0,133248297.0,2017-03-06T00:00:00.000Z,70,194,1.280793057214675,30090602.24718781,-55.3701,-2.00672642,-1.2346617,64.80481153,73.71159644,111.56875325,109.70536784,170663493.683279,0.0105,170663493.68,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,1.2946024874766806,39.74943941629533,-0.005568095802137574
